topic,topic_label,rank,topic_probability,text
1,Topic 1 — Provisional,1,0.10796106948664859,know xactus credit report
1,Topic 1 — Provisional,2,0.07825601901485851,unauthorized inquiry credit report
1,Topic 1 — Provisional,3,0.0769597638206516,account credit report belong need deleted credit report
1,Topic 1 — Provisional,4,0.0747676272440263,recently received copy credit report noticed fraudulent account credit report
1,Topic 1 — Provisional,5,0.07360176569037594,reviwed copy credit report found fraudulent inquiry please remove inquiry credit report
2,Topic 2 — Provisional,1,0.22425994346121272,accordance fair credit reporting act account violated right section state right privacy section section also state consumer reporting agency furnish account without written instruction
2,Topic 2 — Provisional,2,0.22291576974995475,accordance fair credit reporting act account account violated right section state right privacy section section also state consumer reporting agency furnish account without written instruction
2,Topic 2 — Provisional,3,0.2195860759678151,accordance fair credit reporting act xxxxselflndr violated right section state right privacy usc section section also state consumer reporting agency furnish account without written instruction
2,Topic 2 — Provisional,4,0.219282496531714,accordance fair credit reporting act account violated right section state right privacy section also state consumer reporting agency furnish account without written instruction
2,Topic 2 — Provisional,5,0.21829464326677378,accordance fair credit reporting act usbk court florida violated right section state right privacy section section also state consumer reporting agency furnish account without written instruction
