topic,topic_label,document_count,percentage,top_terms,interpretation,limitation
1,Credit Report and Inquiry Problems,3656,12.39,"report, credit, credit report, account, inquiry, removed, remove, information, bureau, credit bureau","Complaints concerning inaccurate, unauthorized, or disputed information appearing on consumer credit reports, including credit inquiries and requests for removal.",No major structural limitation identified.
2,FCRA Privacy and Legal Rights,386,1.31,"section, state, right, section state, state consumer, violated right, state right, without written, furnish account, agency furnish","Complaints focused on consumer privacy, legal rights, and alleged violations of FCRA-related provisions concerning consumer reporting and furnishing information.",Closely related to Topic 9 because both contain substantial FCRA/statutory boilerplate. Should be interpreted as part of a broader FCRA/legal-rights family.
3,"Bank, Card and Account Problems",8558,28.99,"bank, card, account, money, told, called, back, call, would, said","Broad banking and account-management complaints involving bank accounts, cards, transactions, money transfers, and interactions with financial institutions.",Very large and broad topic. Represents diverse banking and account complaints rather than a narrowly defined issue.
4,Cash App Disputes,298,1.01,"cash app, app, cash, unfair, resolution, service unfair, unprotected, platform leaving, inadequate customer, effective measure","Complaints specifically concerning Cash App, particularly fraud protection, dispute resolution, customer service, and alleged failures to protect consumers.",Small topic with substantial paraphrase-level template concentration. Findings should therefore be interpreted cautiously.
5,Identity Theft and Fraudulent Credit Reporting,1313,4.45,"identity theft, theft, identity, result identity, theft fraud, hard inquiry, appearing consumer, inquiry, appearing, hard","Complaints involving identity theft, fraudulent accounts, fraudulent inquiries, and attempts to remove identity-theft related information from consumer credit reports.",No major structural limitation identified.
6,Debt Collection and Debt Validation,4523,15.32,"debt, collection, validation, collect, debt collection, original, company, letter, alleged, collector","Complaints concerning debt collection and requests for debt validation, including disputes over alleged debts, original creditors, documentation, and collection authority.",No major structural limitation identified.
7,FCRA Credit Reporting Disputes,4161,14.1,"reporting, fcra, credit reporting, information, consumer, act, inaccurate, fair, dispute, violation","Complaints concerning inaccurate or disputed credit-reporting information and alleged violations of the Fair Credit Reporting Act, including failures to investigate or correct disputed information.",No major structural limitation identified.
8,"Loan, Mortgage and Payment Problems",5949,20.16,"payment, loan, late, mortgage, paid, month, interest, pay, due, time","Complaints concerning loans, mortgages, payments, interest, late fees, balances, escrow, and other payment-related problems.","Large and relatively broad topic covering several loan, mortgage, and payment-related complaint situations."
9,FCRA Furnisher and Statutory Obligations,488,1.65,"item information, consumer reporting, consumer, person, reporting agency, agency person, shall, item, relating consumer, furnish","Complaints emphasizing statutory and furnisher obligations under consumer reporting law, including requirements relating to the accuracy and furnishing of information.",Closely related to Topic 2 because of shared FCRA/statutory boilerplate language.
10,Zelle Disputes,184,0.62,"zelle, concern, zelle failed, despite using, cfpb lawsuit, lost fund, significant issue, issue platform, express concern, platform despite","Complaints specifically concerning Zelle transactions and disputes, including fraud, unauthorized transfers, inadequate investigations, and difficulties recovering lost funds.",Small topic with substantial paraphrase-level template concentration. Findings should therefore be interpreted cautiously.
